,Наименование,Магазин № 3,Магазин № 4,Магазин № 5,Магазин № 6,Магазин № 7,Магазин № 8,Магазин № 9
157,"Фексофаст, 120 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",,,,471.0,,,
158,"Фексофаст, 180 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",,,,,,,
159,"Солу-Кортеф, 100 мг, лиофилизат для приготовления раствора для внутривенного и внутримышечного введения, в комплекте с растворителем, 2 мл, 1 шт.",,,,,118.0,,
160,"Галиум-Хель, капли для приема внутрь гомеопатические, 30 мл, 1 шт.",,,,,,,
161,"Бинафин, 1%, крем для наружного применения, 10 г, 1 шт.",,,,,,,
162,"Белодерм, 0.05%, мазь для наружного применения, 40 г, 1 шт.",,,,,,,
163,"Флуконазол, 150 мг, капсулы, 2 шт.",54.0,,,,,,
164,"Зовиракс, 200 мг, таблетки, 25 шт.",518.0,,,,,,
165,"Герпферон, мазь для местного и наружного применения, 5 г, 1 шт.",,,,,,,
166,"Ацикловир Белупо, 5%, крем для наружного применения, 5 г, 1 шт.",,65.0,,,,,
167,"Ацикловир Авексима, 200 мг, таблетки, 20 шт.",,,84.0,,84.0,84.0,
168,"Синафлан-Акрихин, 0.025%, мазь для наружного применения, 15 г, 1 шт.",,,172.0,172.0,172.0,,
169,"Гиоксизон, 10 мг+30 мг/г, мазь для наружного применения, 10 г, 1 шт.",107.0,90.0,,111.0,,83.0,90.0
170,"Комфодерм М2, 0.1%+2%, крем для наружного применения, 10 г, 1 шт.",,575.0,575.0,,575.0,542.0,575.0
171,"Кальция хлорид, 100 мг/мл, раствор для внутривенного введения, 5 мл, 10 шт.",109.0,,,103.0,112.0,48.0,48.0
172,"Салициловая кислота, 2%, раствор для наружного применения спиртовой, 40 мл, 1 шт.",,,17.0,,,,
173,"Тербинафин, 1%, крем для наружного применения, 15 г, 1 шт.",,,107.0,107.0,,73.0,
174,"Цинковая мазь, 10%, мазь для наружного применения, 30 г, 1 шт.",,,,,,55.0,55.0
175,"Супрастин, 25 мг, таблетки, 40 шт.",,,,,310.0,305.0,
176,"Тетрадерм, крем для наружного применения, 15 г, 1 шт.",,,932.0,,883.0,,
177,"Аллервэй, 5 мг, таблетки, покрытые пленочной оболочкой, 30 шт.",,649.0,,,,,
178,"Аллервэй, 5 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",,437.0,,,438.0,,
179,"Никсар, 20 мг, таблетки, 10 шт.",,,,,784.0,743.0,
180,"Синафлан, 0.025%, мазь для наружного применения, 15 г, 1 шт.",,,,,,,
181,"Преднизолон, 5 мг, таблетки, 100 шт.",,179.0,,,,,
182,"Кетотифен Софарма, 1 мг, таблетки, 30 шт.",,,,205.0,,,
183,"Мометазон-Акрихин, 0.1%, крем для наружного применения, 15 г, 1 шт.",,93.0,,,,93.0,
184,"Цетиризин, 10 мг, таблетки, покрытые пленочной оболочкой, 20 шт.",,130.0,,,,,
185,"Тербинафин, 1%, крем для наружного применения, 15 г, 1 шт.",,,164.0,,,,
186,"Эспа-Бастин, 20 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",621.0,,,,,,
187,"Эспа-Бастин, 10 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",564.0,,,,,,
